id,user,created_at,text,fav,RT,follower,follows,user_id

1298628853288464384,iknk_japan,2020-08-26 14:30:20,RT @AMATlls: 【速報】WHOが日本のコロナ終息を確認。 #安倍総理 の対応を絶賛！！ https://t.co/QPprdrGlx5,0,2947,348,375,1004671111370452992
1298624386535055369,lebleudeciel38,2020-08-26 14:12:35,RT @AMATlls: 【速報】WHOが日本のコロナ終息を確認。 #安倍総理 の対応を絶賛！！ https://t.co/QPprdrGlx5,0,2947,6125,1385,427968887
1298623730621517824,kaz1000r,2020-08-26 14:09:59,RT @AMATlls: 【速報】WHOが日本のコロナ終息を確認。 #安倍総理 の対応を絶賛！！ https://t.co/QPprdrGlx5,0,2947,53,66,140169121
1298622681558876163,YAGmHaxmdyh9O5H,2020-08-26 14:05:49,RT @AMATlls: 【速報】WHOが日本のコロナ終息を確認。 #安倍総理 の対応を絶賛！！ https://t.co/QPprdrGlx5,0,2947,10,15,1273274632645177344
1298621762007994371,8888uta,2020-08-26 14:02:09,RT @AMATlls: 【速報】WHOが日本のコロナ終息を確認。 #安倍総理 の対応を絶賛！！ https://t.co/QPprdrGlx5,0,2947,1063,2325,1191036881829388288
1298620056314601475,fwhx0309,2020-08-26 13:55:23,RT @AMATlls: 【速報】WHOが日本のコロナ終息を確認。 #安倍総理 の対応を絶賛！！ https://t.co/QPprdrGlx5,0,2947,114,155,2343971232
1298619798859812865,qyMrcQEswujkSyv,2020-08-26 13:54:21,RT @AMATlls: 【速報】WHOが日本のコロナ終息を確認。 #安倍総理 の対応を絶賛！！ https://t.co/QPprdrGlx5,0,2947,787,1515,1130232516026093568
1298613095305117698,Jiji2D,2020-08-26 13:27:43,RT @AMATlls: 【速報】WHOが日本のコロナ終息を確認。 #安倍総理 の対応を絶賛！！ https://t.co/QPprdrGlx5,0,2947,413,611,2270226194
1298611049977929729,carpenter196201,2020-08-26 13:19:35,RT @AMATlls: 【速報】WHOが日本のコロナ終息を確認。 #安倍総理 の対応を絶賛！！ https://t.co/QPprdrGlx5,0,2947,1658,3275,4730653633
1298610283800215553,konamon10,2020-08-26 13:16:33,RT @AMATlls: 【速報】WHOが日本のコロナ終息を確認。 #安倍総理 の対応を絶賛！！ https://t.co/QPprdrGlx5,0,2947,267,264,993845346651406337
1298607688306143237,ninnikukun1,2020-08-26 13:06:14,RT @AMATlls: 【速報】WHOが日本のコロナ終息を確認。 #安倍総理 の対応を絶賛！！ https://t.co/QPprdrGlx5,0,2947,6,19,996596520047673344
1298607512761991170,matsui_2714,2020-08-26 13:05:32,RT @AMATlls: 【速報】WHOが日本のコロナ終息を確認。 #安倍総理 の対応を絶賛！！ https://t.co/QPprdrGlx5,0,2947,163,321,229501582
