id,user,created_at,text,fav,RT,follower,follows,user_id

1298113979022102530,spyukikaze1goh,2020-08-25 04:24:25,RT @mondaijiMiZuKi: 恐ロシア☝(_ _)【コロナ】ロシアのプーチン大統領の娘、新型コロナワクチン2回目の接種後に死亡 https://t.co/JsvIdLA7aF,0,760,10222,11164,2719372644
1298108754584457216,Kabukim55342456,2020-08-25 04:03:39,RT @mondaijiMiZuKi: 恐ロシア☝(_ _)【コロナ】ロシアのプーチン大統領の娘、新型コロナワクチン2回目の接種後に死亡 https://t.co/JsvIdLA7aF,0,760,735,676,1160831487563800576
1297870528418426881,jaspertecnos,2020-08-24 12:17:01,RT @mondaijiMiZuKi: 恐ロシア☝(_ _)【コロナ】ロシアのプーチン大統領の娘、新型コロナワクチン2回目の接種後に死亡 https://t.co/JsvIdLA7aF,0,760,10292,11236,2816268895
1297710722382622720,bsohjijiiat,2020-08-24 01:42:01,RT @mondaijiMiZuKi: 恐ロシア☝(_ _)【コロナ】ロシアのプーチン大統領の娘、新型コロナワクチン2回目の接種後に死亡 https://t.co/JsvIdLA7aF,0,760,8232,9032,884953109063016448
1297688274673139712,schmidkhdk,2020-08-24 00:12:49,RT @mayan1969: 「つまり?」「シベリア送りかな?」【コロナ】ロシアのプーチン大統領の娘、新型コロナワクチン2回目の接種後に死亡 https://t.co/7ufKFwlYGp,0,1,154,387,611621999
1297687355726282753,mayan1969,2020-08-24 00:09:10,「つまり?」「シベリア送りかな?」【コロナ】ロシアのプーチン大統領の娘、新型コロナワクチン2回目の接種後に死亡 https://t.co/7ufKFwlYGp,1,1,3683,3970,287256648
1297562106623954944,a_cleanup,2020-08-23 15:51:28,RT @a_cleanup: これは本当なのだろうか？😨【コロナ】ロシアのプーチン大統領の娘、新型コロナワクチン2回目の接種後に死亡 https://t.co/a6brBvRbfe,0,1,201,265,1284329445923237889
1297541066451644416,a_cleanup,2020-08-23 14:27:52,これは本当なのだろうか？😨【コロナ】ロシアのプーチン大統領の娘、新型コロナワクチン2回目の接種後に死亡 https://t.co/a6brBvRbfe,1,1,201,265,1284329445923237889
1297029303549362176,Anzai_kaiga,2020-08-22 04:34:18,RT @nc750x0131: 【コロナ】ロシアのプーチン大統領の娘、新型コロナワクチン2回目の接種後に死亡 https://t.co/sVMFg01faW,0,2,1754,1779,401852056
1296998037919657984,ajWFEmn0CpnZhaJ,2020-08-22 02:30:03,RT @nc750x0131: 【コロナ】ロシアのプーチン大統領の娘、新型コロナワクチン2回目の接種後に死亡 https://t.co/sVMFg01faW,0,2,177,72,779038532132216832
1296988750031941632,nc750x0131,2020-08-22 01:53:09,【コロナ】ロシアのプーチン大統領の娘、新型コロナワクチン2回目の接種後に死亡 https://t.co/sVMFg01faW,1,2,651,635,948121433120448512
1296969808307564544,Maco125198161,2020-08-22 00:37:53,【コロナ】ロシアのプーチン大統領の娘、新型コロナワクチン2回目の接種後に死亡 https://t.co/d5uONJFdUT,0,0,969,1008,4405261093
1296934489273196544,3Fiekfva4lXzf5g,2020-08-21 22:17:32,RT @mondaijiMiZuKi: 恐ロシア☝(_ _)【コロナ】ロシアのプーチン大統領の娘、新型コロナワクチン2回目の接種後に死亡 https://t.co/JsvIdLA7aF,0,760,510,1039,870543035670474752
1296893576043929600,dodge_66,2020-08-21 19:34:58,RT @mondaijiMiZuKi: 恐ロシア☝(_ _)【コロナ】ロシアのプーチン大統領の娘、新型コロナワクチン2回目の接種後に死亡 https://t.co/JsvIdLA7aF,0,760,4546,4935,2238852673
1296852166909411328,s_s_fe,2020-08-21 16:50:25,RT @sappiy0615: プーチンさんの娘さん、かわいそうです。ご冥福お祈り致します。【コロナ】ロシアのプーチン大統領の娘、新型コロナワクチン2回目の接種後に死亡 https://t.co/nhsOQ9BjbS,0,1,486,517,100979669
1296850243368046593,sappiy0615,2020-08-21 16:42:46,プーチンさんの娘さん、かわいそうです。ご冥福お祈り致します。【コロナ】ロシアのプーチン大統領の娘、新型コロナワクチン2回目の接種後に死亡 https://t.co/nhsOQ9BjbS,0,1,1464,3359,448820159
1296763991616716801,dorobouneko2828,2020-08-21 11:00:02,RT @mondaijiMiZuKi: 恐ロシア☝(_ _)【コロナ】ロシアのプーチン大統領の娘、新型コロナワクチン2回目の接種後に死亡 https://t.co/JsvIdLA7aF,0,760,241,71,1961682295
1296759942351745024,tannafakuru1805,2020-08-21 10:43:57,RT @mondaijiMiZuKi: 恐ロシア☝(_ _)【コロナ】ロシアのプーチン大統領の娘、新型コロナワクチン2回目の接種後に死亡 https://t.co/JsvIdLA7aF,0,760,372,555,132462528
1296733375663763457,nekmedou_nue_gt,2020-08-21 08:58:23,フェイクニュースかどうかはさておき…未知の領域に踏み込む時は臆病な方が良いのだよ。ヒーローはいらない。【コロナ】ロシアのプーチン大統領の娘、新型コロナワクチン2回目の接種後に死亡 https://t.co/ehKBPAtEmt,1,0,527,806,359915400
1296616824545525760,awata_tenobe73,2020-08-21 01:15:15,RT @tweetsoku1: 【コロナ】ロシアのプーチン大統領の娘、新型コロナワクチン2回目の接種後に死亡 https://t.co/I330FRYWc6,0,217,85,76,1253977052295749632
1296554973761699842,makomakorinrin,2020-08-20 21:09:29,【コロナ】ロシアのプーチン大統領の娘、新型コロナワクチン2回目の接種後に死亡 https://t.co/7x2FpyzQiq,1,0,794,1255,101971451
1296292916294373376,c_dragon1537,2020-08-20 03:48:09,RT @tweetsoku123: 【コロナ】ロシアのプーチン大統領の娘、新型コロナワクチン2回目の接種後に死亡 https://t.co/QdyJrbx8Xc,0,12,494,1358,815535856505090049
1296240276818628610,y19950911y,2020-08-20 00:18:59,RT @tweetsoku123: 【コロナ】ロシアのプーチン大統領の娘、新型コロナワクチン2回目の接種後に死亡 https://t.co/QdyJrbx8Xc,0,12,125,365,2896341494
1296095073545752576,fromthemy,2020-08-19 14:42:00,RT @datemankun: #新コロナ/ワクチン開発者もポアされそうだが😎ステージ3の試験を迂回して薬を市場に送りだすことに西側諸国の医師達が警告。隠蔽すると誰もワクチン打たなくなる。ロシアのプーチン大統領の娘、新型コロナワクチン2回目の接種後に死亡https://t.…,0,1,391,247,872275096152358912
1295930725938556928,Zl3dRTJdhEQIkJn,2020-08-19 03:48:56,RT @mondaijiMiZuKi: 恐ロシア☝(_ _)【コロナ】ロシアのプーチン大統領の娘、新型コロナワクチン2回目の接種後に死亡 https://t.co/JsvIdLA7aF,0,760,176,298,985367757599399936
1295923159648985098,CQGkAgK3WTgy3jO,2020-08-19 03:18:53,RT @mondaijiMiZuKi: 恐ロシア☝(_ _)【コロナ】ロシアのプーチン大統領の娘、新型コロナワクチン2回目の接種後に死亡 https://t.co/JsvIdLA7aF,0,760,402,742,1177577594310410241
1295914392261820422,komorigaki,2020-08-19 02:44:02,RT @mondaijiMiZuKi: 恐ロシア☝(_ _)【コロナ】ロシアのプーチン大統領の娘、新型コロナワクチン2回目の接種後に死亡 https://t.co/JsvIdLA7aF,0,760,635,560,3306536412
1295913962970595328,skyrjst,2020-08-19 02:42:20,RT @mondaijiMiZuKi: 恐ロシア☝(_ _)【コロナ】ロシアのプーチン大統領の娘、新型コロナワクチン2回目の接種後に死亡 https://t.co/JsvIdLA7aF,0,760,1412,1351,1082208607
1295913577581293568,kirakira157,2020-08-19 02:40:48,RT @mondaijiMiZuKi: 恐ロシア☝(_ _)【コロナ】ロシアのプーチン大統領の娘、新型コロナワクチン2回目の接種後に死亡 https://t.co/JsvIdLA7aF,0,760,867,546,155838376
1295907505650855936,nikogori2010,2020-08-19 02:16:40,RT @info90234977: 【コロナ】ロシアのプーチン大統領の娘、新型コロナワクチン2回目の接種後に死亡 - まったり芸能日記 https://t.co/bABSQOx2ei …え、マジで？,0,8,3513,1821,152227292
1295889253369434112,metaruyarou911,2020-08-19 01:04:09,RT @tweetsoku123: 【コロナ】ロシアのプーチン大統領の娘、新型コロナワクチン2回目の接種後に死亡 https://t.co/QdyJrbx8Xc,0,12,222,249,3166717177
1295884242434498561,xXCmtvQ4YxAu3Z8,2020-08-19 00:44:14,【コロナ】ロシアのプーチン大統領の娘、新型コロナワクチン2回目の接種後に死亡 https://t.co/BNfdVwxGBL,0,0,138,52,800183045168852993
1295880387155988480,HGzTp6BaHpSfc1z,2020-08-19 00:28:55,RT @mondaijiMiZuKi: 恐ロシア☝(_ _)【コロナ】ロシアのプーチン大統領の娘、新型コロナワクチン2回目の接種後に死亡 https://t.co/JsvIdLA7aF,0,760,462,249,754760523355295744
1295873551136722944,qualia2013,2020-08-19 00:01:45,RT @tweetsoku1: 【コロナ】ロシアのプーチン大統領の娘、新型コロナワクチン2回目の接種後に死亡 https://t.co/I330FRYWc6,0,217,569,850,1103258888
1295873083593564161,Toriko_san20,2020-08-18 23:59:53,【コロナ】ロシアのプーチン大統領の娘、新型コロナワクチン2回目の接種後に死亡 | TweeterＢreakingＮews－ツイッ速！マジかよー😨 https://t.co/8Vka7KqFtw,0,0,636,978,736434001708081153
1295858868220604416,yosiokamamoru,2020-08-18 23:03:24,【コロナ】ロシアのプーチン大統領の娘、新型コロナワクチン2回目の接種後に死亡https://t.co/9nCmy90TJp,0,0,2494,2478,3014034060
1295843927229046786,mamadon0709,2020-08-18 22:04:02,RT @mondaijiMiZuKi: 恐ロシア☝(_ _)【コロナ】ロシアのプーチン大統領の娘、新型コロナワクチン2回目の接種後に死亡 https://t.co/JsvIdLA7aF,0,760,1144,1147,2599937090
1295842324497313792,kkzkj,2020-08-18 21:57:40,【噂】ロシアのプーチン大統領の娘が新型コロナワクチン2回目の接種後に死亡したと報道される！ https://t.co/8RbppqHIqT もしこれが本当なら、プーチンは独裁者どころか実は名宰相なのでは？普通よくわからん薬の実験台は重篤患者か奴隷にさせるだろうに、真っ先に自分の娘に摂取させるなんて凄い。,0,0,399,2032,128467895
1295836686299979776,akito66843972,2020-08-18 21:35:16,RT @mondaijiMiZuKi: 恐ロシア☝(_ _)【コロナ】ロシアのプーチン大統領の娘、新型コロナワクチン2回目の接種後に死亡 https://t.co/JsvIdLA7aF,0,760,1366,1547,749090408257363968
1295826504555798528,Masa54169169,2020-08-18 20:54:48,RT @mondaijiMiZuKi: 恐ロシア☝(_ _)【コロナ】ロシアのプーチン大統領の娘、新型コロナワクチン2回目の接種後に死亡 https://t.co/JsvIdLA7aF,0,760,2742,2787,831679925039935488
1295825173539561472,inobudou,2020-08-18 20:49:31,RT @mondaijiMiZuKi: 恐ロシア☝(_ _)【コロナ】ロシアのプーチン大統領の娘、新型コロナワクチン2回目の接種後に死亡 https://t.co/JsvIdLA7aF,0,760,7560,7956,112144450
1295824695187484672,C62Kuni,2020-08-18 20:47:37,RT @mondaijiMiZuKi: 恐ロシア☝(_ _)【コロナ】ロシアのプーチン大統領の娘、新型コロナワクチン2回目の接種後に死亡 https://t.co/JsvIdLA7aF,0,760,3366,3518,2733717522
1295816169375461376,yawaitoko,2020-08-18 20:13:44,RT @mondaijiMiZuKi: 恐ロシア☝(_ _)【コロナ】ロシアのプーチン大統領の娘、新型コロナワクチン2回目の接種後に死亡 https://t.co/JsvIdLA7aF,0,760,362,228,906815709367300096
1295793040573861888,waketagami1,2020-08-18 18:41:50,RT @mondaijiMiZuKi: 恐ロシア☝(_ _)【コロナ】ロシアのプーチン大統領の娘、新型コロナワクチン2回目の接種後に死亡 https://t.co/JsvIdLA7aF,0,760,205,208,1278954190937534464
1295790167676968960,mackeyoj32007,2020-08-18 18:30:25,RT @mondaijiMiZuKi: 恐ロシア☝(_ _)【コロナ】ロシアのプーチン大統領の娘、新型コロナワクチン2回目の接種後に死亡 https://t.co/JsvIdLA7aF,0,760,819,919,806480618959708160
1295763308226596864,yosiokamamoru,2020-08-18 16:43:41,【コロナ】ロシアのプーチン大統領の娘、新型コロナワクチン2回目の接種後に死亡★2https://t.co/luSm8TiKxa,0,0,2494,2478,3014034060
1295751606864998400,koureki26801,2020-08-18 15:57:11,RT @tweetsoku123: 【コロナ】ロシアのプーチン大統領の娘、新型コロナワクチン2回目の接種後に死亡 https://t.co/QdyJrbx8Xc,0,12,695,1194,1288410482051674112
1295749393337872384,cwqdb646,2020-08-18 15:48:23,RT @tweetsoku123: 【コロナ】ロシアのプーチン大統領の娘、新型コロナワクチン2回目の接種後に死亡 https://t.co/QdyJrbx8Xc,0,12,495,655,212174677
1295749162739200000,nissyken2,2020-08-18 15:47:28,RT @tweetsoku123: 【コロナ】ロシアのプーチン大統領の娘、新型コロナワクチン2回目の接種後に死亡 https://t.co/QdyJrbx8Xc,0,12,35,39,1099597486987964418
1295744851237986305,Pochtarow,2020-08-18 15:30:20,RT @tweetsoku123: 【コロナ】ロシアのプーチン大統領の娘、新型コロナワクチン2回目の接種後に死亡 https://t.co/QdyJrbx8Xc,0,12,712,960,573719217
1295741015123345408,TOMowith1,2020-08-18 15:15:06,RT @tweetsoku123: 【コロナ】ロシアのプーチン大統領の娘、新型コロナワクチン2回目の接種後に死亡 https://t.co/QdyJrbx8Xc,0,12,911,1071,860924412886777856
1295739748011532288,tweetsoku123,2020-08-18 15:10:04,【コロナ】ロシアのプーチン大統領の娘、新型コロナワクチン2回目の接種後に死亡 https://t.co/QdyJrbx8Xc,20,12,4896,4644,1223472096237408257
1295726656087261184,Tya69417165,2020-08-18 14:18:02,RT @mondaijiMiZuKi: 恐ロシア☝(_ _)【コロナ】ロシアのプーチン大統領の娘、新型コロナワクチン2回目の接種後に死亡 https://t.co/JsvIdLA7aF,0,760,148,705,1161991774157471744
1295722935269961728,sogofollow1,2020-08-18 14:03:15,【コロナ】ロシアのプーチン大統領の娘、新型コロナワクチン2回目の接種後に死亡 https://t.co/yjCjznK2Ya,0,0,6615,7134,776424804995829760
1295722798606884866,nanan573,2020-08-18 14:02:43,【コロナ】ロシアのプーチン大統領の娘、新型コロナワクチン2回目の接種後に死亡 https://t.co/l2yPxtVq6r,0,1,2413,2486,793035881082855424
1295722748451356674,redpanda678,2020-08-18 14:02:31,【コロナ】ロシアのプーチン大統領の娘、新型コロナワクチン2回目の接種後に死亡 https://t.co/35QoOyw5Uq,0,0,6658,7113,778462097206239232
1295722445014433799,Tomsan011r,2020-08-18 14:01:18,【コロナ】ロシアのプーチン大統領の娘、新型コロナワクチン2回目の接種後に死亡 https://t.co/pwtWz51VgQ,0,0,2426,2210,3781296912
1295722402178105344,tonakai678,2020-08-18 14:01:08,【コロナ】ロシアのプーチン大統領の娘、新型コロナワクチン2回目の接種後に死亡 https://t.co/5omstJMIWo,0,0,7065,7754,775291850588508160
1295722017136807940,superwhitecolor,2020-08-18 13:59:36,【コロナ】ロシアのプーチン大統領の娘、新型コロナワクチン2回目の接種後に死亡 https://t.co/8m4euaw2lP,0,0,12638,13532,775891039668178947
1295720359875026944,KXFiDBA6ivbbVfE,2020-08-18 13:53:01,RT @mondaijiMiZuKi: 恐ロシア☝(_ _)【コロナ】ロシアのプーチン大統領の娘、新型コロナワクチン2回目の接種後に死亡 https://t.co/JsvIdLA7aF,0,760,225,387,1058593723137703937
1295718266816671757,guardy0322,2020-08-18 13:44:42,【コロナ】ロシアのプーチン大統領の娘、新型コロナワクチン2回目の接種後に死亡 https://t.co/fBoBYKk9cq よし、中国へ軍事侵攻だ。　ＲＩＰ,0,0,1965,2093,354049604
1295714206684254211,yosiokamamoru,2020-08-18 13:28:34,【コロナ】ロシアのプーチン大統領の娘、新型コロナワクチン2回目の接種後に死亡https://t.co/9nCmy9iv7Z,0,0,2494,2478,3014034060
1295710785184833536,F20M135i,2020-08-18 13:14:58,RT @tweetsoku1: 【コロナ】ロシアのプーチン大統領の娘、新型コロナワクチン2回目の接種後に死亡 https://t.co/I330FRYWc6,0,217,236,375,2397677372
1295708395018653697,basdrivers1,2020-08-18 13:05:29,RT @mondaijiMiZuKi: 恐ロシア☝(_ _)【コロナ】ロシアのプーチン大統領の娘、新型コロナワクチン2回目の接種後に死亡 https://t.co/JsvIdLA7aF,0,760,196,164,3365068038
1295695909125201921,slashplus,2020-08-18 12:15:52,[タレ]ロシアのプーチン大統領の娘、新型コロナワクチン2回目の接種後に死亡 https://t.co/4y1YxWGD19https://t.co/tYVTHIJow4,1,1,786,7,88932813
1295695303283060736,hid_magician,2020-08-18 12:13:27,RT @mondaijiMiZuKi: 恐ロシア☝(_ _)【コロナ】ロシアのプーチン大統領の娘、新型コロナワクチン2回目の接種後に死亡 https://t.co/JsvIdLA7aF,0,760,354,411,142720846
