id,user,created_at,text,fav,RT,follower,follows,user_id

1298629265877958656,hossumori_5657,2020-08-26 14:31:59,RT @togemaru_k: 「WHOが日本のコロナ終息を確認。安倍総理の対応を絶賛」そんなツイートが拡散し、添付されたニュース映像は30万近く再生されています。しかし、これは5月末のもの。現在とは状況が大きく異なることから「ミスリード」に当たるため、注意が必要です。…,0,261,264,331,2271815234
1298627719366754304,shizuku4013,2020-08-26 14:25:50,RT @togemaru_k: 「WHOが日本のコロナ終息を確認。安倍総理の対応を絶賛」そんなツイートが拡散し、添付されたニュース映像は30万近く再生されています。しかし、これは5月末のもの。現在とは状況が大きく異なることから「ミスリード」に当たるため、注意が必要です。…,0,261,490,737,135712323
1298624898978287618,Bonboriman,2020-08-26 14:14:37,RT @togemaru_k: 「WHOが日本のコロナ終息を確認。安倍総理の対応を絶賛」そんなツイートが拡散し、添付されたニュース映像は30万近く再生されています。しかし、これは5月末のもの。現在とは状況が大きく異なることから「ミスリード」に当たるため、注意が必要です。…,0,261,93,30,245254485
1298621351029166080,jun_84,2020-08-26 14:00:31,RT @togemaru_k: 「WHOが日本のコロナ終息を確認。安倍総理の対応を絶賛」そんなツイートが拡散し、添付されたニュース映像は30万近く再生されています。しかし、これは5月末のもの。現在とは状況が大きく異なることから「ミスリード」に当たるため、注意が必要です。…,0,261,648,194,49049526
1298618466170068992,keitaprunus,2020-08-26 13:49:04,RT @togemaru_k: 「WHOが日本のコロナ終息を確認。安倍総理の対応を絶賛」そんなツイートが拡散し、添付されたニュース映像は30万近く再生されています。しかし、これは5月末のもの。現在とは状況が大きく異なることから「ミスリード」に当たるため、注意が必要です。…,0,261,168,328,2840973930
1298616521028075520,megto3104,2020-08-26 13:41:20,RT @togemaru_k: 「WHOが日本のコロナ終息を確認。安倍総理の対応を絶賛」そんなツイートが拡散し、添付されたニュース映像は30万近く再生されています。しかし、これは5月末のもの。現在とは状況が大きく異なることから「ミスリード」に当たるため、注意が必要です。…,0,261,72,142,388351236
1298613879665127424,BaronSomeday,2020-08-26 13:30:50,RT @togemaru_k: 「WHOが日本のコロナ終息を確認。安倍総理の対応を絶賛」そんなツイートが拡散し、添付されたニュース映像は30万近く再生されています。しかし、これは5月末のもの。現在とは状況が大きく異なることから「ミスリード」に当たるため、注意が必要です。…,0,261,136,242,354496905
1298613147058630656,ieCOLWxQgql21XO,2020-08-26 13:27:55,RT @togemaru_k: 「WHOが日本のコロナ終息を確認。安倍総理の対応を絶賛」そんなツイートが拡散し、添付されたニュース映像は30万近く再生されています。しかし、これは5月末のもの。現在とは状況が大きく異なることから「ミスリード」に当たるため、注意が必要です。…,0,261,267,324,952286358898266112
1298612690609348608,Corrird,2020-08-26 13:26:07,RT @togemaru_k: 「WHOが日本のコロナ終息を確認。安倍総理の対応を絶賛」そんなツイートが拡散し、添付されたニュース映像は30万近く再生されています。しかし、これは5月末のもの。現在とは状況が大きく異なることから「ミスリード」に当たるため、注意が必要です。…,0,261,299,607,132064944
1298612157731360770,eie_vsr10,2020-08-26 13:24:00,RT @togemaru_k: 「WHOが日本のコロナ終息を確認。安倍総理の対応を絶賛」そんなツイートが拡散し、添付されたニュース映像は30万近く再生されています。しかし、これは5月末のもの。現在とは状況が大きく異なることから「ミスリード」に当たるため、注意が必要です。…,0,261,42,250,1542630776
